secuencial,sentinela,binario,interpolacion
2.920010592788458e-06,2.9399991035461427e-06,2.499984111636877e-06,2.159993164241314e-06
5.8799982070922855e-06,4.720001015812159e-06,2.4399952962994577e-06,1.7200014553964139e-06
1.3499998021870852e-05,1.1940009426325559e-05,2.179981674998999e-06,1.3600103557109832e-06
5.348001141101122e-05,4.6680006198585035e-05,3.239989746361971e-06,1.680001150816679e-06
0.00014567999169230462,0.00010254000080749393,2.5799963623285294e-06,1.2199976481497289e-06
0.0002881600055843592,0.00029417998157441614,2.5399960577487947e-06,1.1800089851021768e-06
0.0005827400018461049,0.0004457399831153452,3.0600116588175296e-06,1.459987834095955e-06
0.0015590399969369173,0.0016288200044073165,4.499999340623617e-06,2.320006024092436e-06
0.002955340011976659,0.00244290002156049,5.919986870139838e-06,2.9199873097240925e-06
0.0060863799997605385,0.0038561600144021214,9.060010779649019e-06,4.079984501004219e-06
